Name,Length (mm),Width (mm),Weight (g),Shape,Connectivity,Sensor,DPI,Polling Rate,Side Buttons,Grip Type
Xtrfy M8 Wireless,118,60.5,55,Symmetrical,Wireless,PAW3395,26000,1000,2,Palm
Xtrfy M42,118,63,59,Symmetrical,Wired,PAW3389,19000,1000,2,Claw Palm/Claw
Cherry Xtrfy M50,122,63,69,Symmetrical,Wired,PAW3311,12000,1000,2,Claw Palm/Palm
Xtrfy MZ1,111,58.5,56,Symmetrical,Wired,PAW3389,16000,1000,2,Fingertip
Xtrfy MZ1 Wireless,111,58.5,62,Symmetrical,Wireless,PAW3370,19000,1000,2,Fingertip
Cherry Xtrfy M68 Pro 8K Wireless,123.3,64,55,Symmetrical,Wireless,PAW3395,26000,8000,2,Palm
Cherry Xtrfy M64 Pro 8K Wireless,120,65,55,Ergonomic,Wireless,PAW3395,26000,8000,2,Palm
Endgame Gear OP1we,118.2,60.5,59,Symmetrical,Wireless,PAW3370,19000,1000,2,Claw/Fingertip
Endgame Gear OP1we,122,66,63,Symmetrical,Wireless,PAW3395,26000,1000,2,Claw/Fingertip
LAMZU x Fnatic Thorn,119,65,52,Ergonomic,Wireless,PAW3395,26000,4000,2,Palm/Claw Palm
Fnatic Bolt,120.9,63,67,Symmetrical,Wireless,PAW3370,19000,1000,2,Claw/Fingertip/Claw Palm
Pwnage StormBreaker,122,64,50,Ergonomic,Wireless,PAW3395,26000,4000,2,Palm
Cooler Master MM730,122.3,69,48,Ergonomic,Wired,PAW3389,16000,1000,2,Palm
Cooler Master MM731,122.3,69,59,Ergonomic,Wireless,PAW3370,19000,1000,2,Palm
Cooler Master MM710,116.6,62.6,53,Symmetrical,Wired,PAW3389,16000,1000,2,Claw/Fingertip
ASUS ROG Keris II Ace,121,67,54,Ergonomic,Wireless,ROG AimPoint Pro,42000,8000,2,Palm
Ducky Feather,124,65,65,Symmetrical,Wired,PAW3389,16000,1000,2,Claw/Claw Palm/Fingertip
Microsoft Pro IntelliMouse,132,69,109,Ergonomic,Wired,PAW3389,16000,1000,2,Palm/Claw Palm
SteelSeries Aerox 3,120.5,67,59,Symmetrical,Wired,TrueMove Core,8500,1000,2,Claw/Claw Palm
SteelSeries Aerox 3 Wireless,120.5,67,68,Symmetrical,Wireless,TrueMove Air,18000,1000,2,Claw/Claw Palm
SteelSeries Prime Wireless,125.3,67.9,80,Ergonomic,Wireless,TrueMove Air,18000,1000,2,Palm
SteelSeries Rival 600,131,69,96,Ergonomic,Wired,TrueMove 3,12000,1000,3,Palm
Pulsar X2H Mini,115.6,62.4,52,Symmetrical,Wireless,PAW3395,26000,1000,2,Claw/Fingertip
Pulsar Xlite V3 Large,126,69.5,58,Ergonomic,Wireless,PAW3395,26000,1000,2,Palm/Claw Palm
Pulsar Xlite V3 Mini,115.6,63.5,52,Ergonomic,Wireless,PAW3395,26000,1000,2,Palm/Claw Palm
Pulsar Xlite V3 Medium,122,66,55,Ergonomic,Wireless,PAW3395,26000,1000,2,Palm/Claw Palm
Pulsar X2V2 Mini,116,61,51,Symmetrical,Wireless,PAW3395,26000,1000,2,Claw/Fingertip
Zowie S2,120,64,82,Symmetrical,Wired,PMW3360,3200,1000,2,Claw Palm/Claw
Zowie ZA12-C,125,65,70,Symmetrical,Wired,PMW3360,3200,1000,2,Fingertip/Claw Palm
Glorious Series 2 Pro,119,62,55,Symmetrical,Wireless,BAMF2.0,26000,8000,2,Claw/Claw Palm
Delux M700 Ultra,128.2,67,59,Symmetrical,Wireless,PAW3950,30000,8000,2,Claw
ATK Z1 Ultra,122.5,66.8,57,Ergonomic,Wireless,PAW3950 Ultra,42000,8000,2,Palm/Claw Palm
ATK Z1 Pro Max,122.5,66.8,57,Ergonomic,Wireless,PAW3950,36000,8000,2,Palm/Claw Palm
Corsair M55 Wired,118,62,55,Symmetrical,Wired,,16000,1000,2,Claw/Fingertip
Corsair M55 Wireless,118,62,85,Symmetrical,Wireless,,24000,1000,2,Claw/Fingertip
Logitech G309,120,64,86,Symmetrical,Wireless,HERO 25K,25600,1000,2,Palm/Claw Palm
G-Wolves HTS Plus 8K,117,61,46,Symmetrical,Wireless,PAW3395,26000,8000,2,Claw/Claw Palm/Palm
Nixeus Revel,125.6,67.5,85,Symmetrical,Wired,PMW3360,12000,1000,2,Claw/Claw Palm/Palm
HyperX Pulsefire Haste 2 Wired,124.2,66.8,52,Symmetrical,Wired,HyperX 26K,26000,8000,2,Claw Palm/Claw
HyperX Pulsefire Haste 2 Wireless,124.2,66.8,60,Symmetrical,Wireless,HyperX 26K,26000,1000,2,Claw Palm/Claw
HyperX Pulsefire Haste 2 Core Wireless,124.2,66.8,68,Symmetrical,Wireless,HyperX Core Sensor,12000,1000,2,Claw Palm/Claw
VGN Dragonfly F1 Pro,121.3,63.8,49,Symmetrical,Wireless,PAW3395,26000,4000,2,Claw/Claw Palm/Palm
VGN Dragonfly F1 Pro Max,121.3,63.8,55,Symmetrical,Wireless,PAW3395,26000,4000,2,Claw/Claw Palm/Palm
VGN R1 Pro Max,120.6,64.0 ,54,Symmetrical,Wireless,PAW3395,26000,4000,2,Claw/Fingertip/Claw Palm
Fantech Helios II Pro S,120.0 ,64.0 ,55,Symmetrical,Wireless,PAW3395,26000,8000,2,Claw Palm/Claw
Alienware Pro Wireless,124.5,63.5,60,Symmetrical,Wireless,PAW3395,26000,8000,2,Claw Palm/Palm
Alienware AW620M,131.5,77.8,99,Ergonomic,Wireless,PAW3395,26000,1000,2,Palm
Alienware AW610M,132.0 ,78.7,120,Symmetrical,Wireless,PAW3389,16000,1000,2,Palm
ASUS TUF Gaming M3 Gen II,123.0 ,68.0 ,59,Ergonomic,Wired,PAW3318,8000,1000,2,Palm/Claw Palm
AJAZZ AJ179 APEX,117.8,65.6,58,Ergonomic,Wireless,PAW3950 APEX,42000,8000,2,Palm/Claw Palm
IFYOO G63,119.5,62.0 ,58,Symmetrical,Wireless,PAW3395,26000,4000,2,Palm/Claw Palm/Claw
GANSS FLX3 4K,118,65.7,55,Ergonomic,Wireless,PAW3395,26000,4000,2,Palm/Claw Palm
VAXEE ZYGEN NP-01 Wireless 4K,120,66.0 ,73,Ergonomic,Wireless,PAW3395,3200,4000,2,Palm/Claw
VAXEE ZYGEN NP-01S,120,63.0 ,71,Ergonomic,Wired,PAW3389,3200,1000,2,Palm/Claw
VAXEE ZYGEN NP-01,120,66.0 ,75,Ergonomic,Wired,PAW3389,3200,1000,2,Palm/Claw
Logitech G102 Lightsync,116.6,62.1 ,85,Symmetrical,Wired,1855,8000,1000,2,Claw/Fingertip
Logitech G705,105.8,68.1,85,Ergonomic,Wireless,,8200,1000,2,Palm
ROCCAT Kone XP Air,126,76.0 ,99,Ergonomic,Wireless,Owl-Eye 19K,19000,1000,5,Palm
Irocks M31R,123,66.5,66,Ergonomic,Wireless,PAW3395,26000,1000,2,Palm/Claw Palm/Claw
Rapoo VT3 Pro Max,123,66.0 ,59,Ergonomic,Wireless,PAW3950,30000,8000,2,Palm/Claw Palm
Rapoo VT9 Air,120.1,65.8,59,Symmetrical,Wireless,PAW3395,26000,8000,2,Palm/Claw Palm
Incott G24 Pro,122,67.0 ,67,Ergonomic,Wireless,PAW3395ES-KING,42000,8000,2,Palm/Claw Palm
Incott G23 Pro,126,63.5,65,Symmetrical,Wireless,PAW3395ES-KING,45000,8000,2,Palm/Claw Palm/Claw
Incott GHERO Pro,118.6,66.0 ,66,Ergonomic,Wireless,PAW3395,32000,8000,2,Palm/Claw Palm
Keychron M7,127.7,77.1,63,Ergonomic,Wireless,PAW3395,26000,1000,3,Palm
Keychron Lemokey G2,118,62.6,52,Symmetrical,Wireless,PAW3950,30000,8000,2,Claw/Claw Palm/Fingertip
Keychron Lemokey G1,116.8,59.5,55,Symmetrical,Wireless,PAW3950,30000,8000,2,Claw/Claw Palm/Fingertip
